ident,name
1,"Abercrombie, Lascelles"
2,"Abse, Dannie"
3,"Achebe, Chinua"
4,"Ackerman, Diane"
5,"Acorn, Milton"
7,"Adams, Léonie"
8,"Adamson, Robert"
9,"Adcock, Fleur"
11,"Agard, John"
15,Ai
16,"Aidoo, Ama Ata"
17,"Aiken, Conrad"
18,"Aldington, Richard"
19,"Ali, Agha Shahid"
20,"Allen, Dick"
21,"Allison, Drummond"
22,"Allott, Kenneth"
23,Alurista
24,"Alvarez, A."
26,"Amis, Kingsley"
27,"Ammons, A. R."
28,"Anderson, Ethel"
29,"Anderson, Jon"
30,"Anderson, Patrick"
32,"Angelou, Maya"
33,"Angira, Jared"
35,"Ansen, Alan"
37,"Anyidoho, Kofi"
38,"Arasanayagam, Jean Solomons"
39,"Armitage, Simon"
40,"Arrowsmith, William"
42,"Ash, John"
43,"Ashbery, John"
45,"Atwood, Margaret"
46,"Auden, W. H."
48,"Avison, Margaret"
49,"Awoonor, Kofi"
50,"Baca, Jimmy Santiago"
52,"Baker, Howard"
54,"Banning, Lex"
55,"Baraka, Amiri Imamu"
56,"Barbour, Douglas"
57,"Barker, George"
59,"Baxter, James K."
61,"Beaver, (Victor) Bruce"
62,"Beckett, Samuel"
63,"Beer, Patricia"
64,"Belitt, Ben"
67,"Bell, Martin"
68,"Bell, Marvin"
70,"Bellerby, Frances"
71,"Belloc, Hilaire"
75,"Bennett, Louise"
76,"Bentley, E. C. (Edward Clerihew)"
77,"Berg, Stephen"
79,"Berrigan, Daniel (J.)"
80,"Berrigan, Ted"
81,"Berry, Francis"
82,"Berry, James"
83,"Berry, Wendell"
84,"Berryman, John"
85,"Berssenbrugge, Mei-Mei"
86,"Bethell, (Mary) Ursula"
87,"Betjeman, Sir John"
88,"Bhatt, Sujata"
89,"Bidart, Frank"
91,"Binyon, (Robert) Laurence"
92,"Birney, (Alfred) Earle"
93,"Bishop, Elizabeth"
95,"bissett, bill"
96,"Blackburn, Paul"
99,"Blackmur, R. P. (Richard Palmer)"
103,"Blessing, Richard"
104,"Blight, John"
106,"Blumenthal, Michael"
107,"Blunden, Edmund"
109,"Bly, Robert"
111,"Bogan, Louise"
112,"Boland, Eavan"
115,"Booth, Philip"
118,"Bottoms, David"
119,"Bottrall, Ronald"
120,"Bowering, George"
121,"Bowering, Marilyn"
122,"Bowers, Edgar"
124,"Boyle, Charles"
126,"Brackenbury, Alison"
127,"Brasch, Charles"
128,"Brathwaite, E. K."
129,"Braun, Richard Emil"
131,"Brennan, Christopher"
132,"Brew, (O. H.) Kwesi"
133,"Brewster, Elizabeth"
134,"Bridges, Robert"
135,"Bringhurst, Robert"
136,"Brissenden, R. F."
137,"Brock, Edwin"
138,"Brock-Broido, Lucie"
140,"Bronk, William"
141,"Brooke, Rupert"
142,"Brooks, Gwendolyn"
143,"Brown, Pam(ela)"
144,"Brown, George Mackay"
146,"Brown, Sterling A."
147,"Brown, Wayne"
148,"Browne, Michael Dennis"
152,"Buckley, Vincent"
153,"Buckmaster, Charles"
154,"Bukowski, Charles"
155,"Bunting, Basil"
156,"Burke, Kenneth"
157,"Burnshaw, Stanley"
158,"Burnside, John"
159,"Butler, Guy"
160,"Butlin, Ron"
161,"Bynner, Witter"
164,"Cameron, (John) Norman"
165,"Campbell, Alistair"
166,"Campbell, David"
167,"Campbell, George"
168,"Campbell, (Ignatius) Roy(ston) (Dunnachie)"
171,"Carruth, Hayden"
172,"Carson, Ciaran"
173,"Carter, Martin"
174,"Carver, Raymond"
175,"Cassity, Turner"
176,"Catalano, Gary"
178,"Causley, Charles"
180,"Cervantes, Lorna Dee"
181,"Challis, Gordon"
182,"Chappell, Fred"
183,"Charles, Faustin"
184,"Cheney-Coker, Syl"
185,"Chesterton, G. K."
186,"Chimombo, Steve"
187,"Chipasula, Frank Mkalawile"
188,"Chitre, Dilip Purushottam"
189,"Christopher, Nicholas"
190,"Chuilleanáin, Eiléan Ní"
192,"Clampitt, Amy"
193,"Clark, Tom"
194,"Clark Bekederemo, J. P."
195,"Clarke, Austin"
196,"Clarke, Gillian"
198,"Clemo, Jack"
199,"Clifton, Lucille"
200,"Clouts, Sydney David"
202,"Colebatch, Hal Gibson Pateshall"
204,"Coles, Don"
205,"Colum, Padraic"
209,"Conn, Stewart"
210,"Connor, Tony"
211,"Conquest, (George) Robert (Ackworth)"
212,"Constantine, David"
215,"Cooper, Jane"
217,"Corman, Cid"
218,"Corn, Alfred"
219,"Cornford, Frances"
220,"Cornford, (Rupert) John"
221,"Corso, (Nunzio) Gregory"
222,"Coulette, Henri"
223,"Cowley, Malcolm"
224,"Crane, (Harold) Hart"
226,"Crapsey, Adelaide"
227,"Crase, Douglas"
228,"Crawford, Robert"
229,"Creeley, Robert"
230,"Cronin, Jeremy"
231,"Crozier, Lorna"
232,"Cruz, Victor Hernandez"
233,"Cullen, Countee"
234,"Cullinan, Patrick"
235,"Cummings, E. E."
236,"Cunningham, J. V."
237,"Curnow, (Thomas) Allen (Munro)"
238,"Curtis, Tony"
239,"Dabydeen, Cyril"
240,"Dabydeen, David"
241,"D'Aguiar, Fred(erick)"
242,"Dale, Peter (John)"
243,"Dallas, Ruth"
244,"Dangor, Achmat"
245,"Daruwalla, Keki Nasserwanji"
246,"Daryush, Elizabeth"
247,"Das, Kamala"
250,"Davey, Frank"
251,"Davidson, Donald"
253,"Davie, Donald"
254,"Davies, Idris"
255,"Davies, W. H."
256,"Davis, Dick"
257,"Davis, Jack"
258,"Davison, Peter"
259,"Dawe, (Donald) Bruce"
260,"Day Lewis, C."
264,"de Hoyos, Angela"
265,"de la Mare, Walter"
266,"Denby, Edwin"
267,"Dennis, C. J."
269,"de Silva, Alfreda"
270,"de Souza, Eunice"
272,"Devlin, Denis"
274,"Dickey, James"
275,"Dickey, William"
276,"Dickinson, Patric Thomas"
277,"Didsbury, Peter"
278,"di Michele, Mary"
279,"Dipoko, Mbella Sonne"
280,"di Prima, Diane"
281,"Disch, Tom"
282,"Dobson, Rosemary"
283,"Dobyns, Stephen J."
284,"Donaghy, Michael"
285,"Doolittle, Hilda"
286,"Dorn, Ed(ward)"
288,"Douglas, Keith"
289,"Dove, Rita"
290,"Downie, Freda"
291,"Dransfield, Michael"
292,"Drinkwater, John"
293,"Driver, C. J."
294,"Dubie, Norman"
295,"Dudek, Louis"
296,"Duffy, Carol Ann"
297,"Dugan, Alan"
298,"Duggan, Eileen"
299,"Duggan, Laurie"
300,"Duncan, Robert"
301,"Dunmore, Helen"
302,"Dunn, Douglas"
303,"Dunn, Stephen"
304,"Durcan, Paul"
305,"Durrell, Lawrence"
306,"Dutton, Geoffrey"
308,"Dyment, Clifford"
309,"Eberhart, Richard"
310,"Echeruo, Michael"
311,"Edgar, Stephen"
312,"Edmond, Lauris"
313,"Edmond, Murray"
315,"Ee, Tiang Hong"
317,"Eigner, Larry"
318,"Elder, Anne"
319,"Eliot, T. S."
320,"Elliot, Alistair"
322,"Empson, William"
323,"Engle, Paul"
325,"Enright, D. J."
326,"Enslin, Theodore"
327,"Eshleman, Clayton"
328,"Espada, Martín"
329,"Everson, R. G."
330,"Everson, William"
331,"Ewart, Gavin"
332,"Ezekiel, Nissim"
334,"Fahey, Diane"
335,"Fainlight, Harry"
336,"Fainlight, Ruth"
337,"Fairburn, Arthur Rex Dugard"
339,"Fallon, Padraic"
340,"Fanthorpe, U. A. (Ursula Askham)"
347,"Fenton, James"
348,"Ferlinghetti, Lawrence (Mendes-Monstanto)"
349,"Fernando, Patrick"
350,"Ferry, David"
352,"Field, Edward"
353,"Figueroa, John Joseph Maria"
355,"Finkel, Donald"
357,"Fisher, Roy"
359,"FitzGerald, R. D. (Robert David)"
360,"Fitzgerald, Robert"
362,"Flecker, James Elroy"
364,"Fletcher, John Gould"
365,"Flint, F. S. (Frank Stuart)"
366,"Forbes, John"
367,"Forché, Carolyn"
368,"Ford, Ford Madox"
369,"Ford, Mark"
370,"Ford, R. A. D. (Robert Arthur Douglass)"
371,"Forrest-Thomson, Veronica"
372,"Foulcher, John"
373,"Frame, Janet"
374,"Francis, Robert"
376,"French, Anne"
378,"Frost, Robert"
381,"Fuller, John"
382,"Fuller, Roy"
387,"Gallagher, Tess"
388,"Gardner, Isabella"
389,"Garfitt, Roger"
390,"Garioch, Robert"
391,"Garlick, Raymond"
392,"Garrett, George"
393,"Garrigue, Jean"
394,"Gascoyne, David"
395,"Geddes, Gary"
398,"Ghiselin, Brewster"
399,"Ghose, Zulfikar"
402,"Gilbert, Jack"
403,"Gilbert, Kevin J."
404,"Gillies, Valerie"
405,"Gilmore, Mary"
406,"Ginsberg, Allen"
407,"Gioia, Dana"
