V1,V2,weight
1708,1448,0.84
1708,296,0.94
1063,319,0.79
1063,1639,0.77
1063,1302,0.75
1063,1164,0.72
1063,977,0.79
1063,1190,0.88
1063,84,0.99
1063,560,0.99
1063,99,0.93
1063,693,0.68
1350,319,0.86
1350,1200,0.93
1350,92,0.99
1676,93,0.64
1676,192,0.72
879,43,0.99
879,1062,0.98
879,1355,0.89
142,378,0.64
142,536,0.88
142,1338,0.63
1345,1356,0.98
1345,1639,0.48
1345,1409,0.93
1345,1474,0.94
576,1201,0.5
1397,1568,0.9
791,994,0.95
791,330,0.99
791,300,0.93
1256,302,0.98
1256,469,0.94
1256,501,0.9
1024,1134,0.78
95,45,1.0
95,904,0.81
95,1565,0.93
305,1164,0.73
305,46,0.96
305,394,0.97
305,952,0.86
253,1308,0.82
253,1303,0.81
1166,599,0.92
1166,1117,0.9
1416,1711,0.91
1707,93,0.66
528,898,0.93
399,506,0.98
17,319,0.99
17,223,0.93
17,560,0.79
906,378,0.3
906,319,0.41
679,460,0.93
1013,631,0.98
1013,111,0.91
1013,46,0.99
1013,1322,0.64
1013,1200,0.95
1013,937,0.8
1013,84,0.95
1013,693,0.72
1013,274,0.88
1013,1316,0.84
1013,537,0.82
1013,486,0.74
1013,616,0.86
1013,505,0.65
1681,1454,0.85
1681,1586,0.98
1681,859,0.67
1681,1474,0.98
1681,229,0.86
1681,300,0.8
1207,486,0.86
808,1302,0.83
1154,1308,0.87
709,704,0.85
440,1322,0.45
440,1164,0.56
440,224,0.73
717,982,0.77
1025,602,0.97
1025,1639,0.62
1025,886,0.83
1025,109,0.96
1025,1356,0.84
1241,1509,0.95
1241,1433,0.84
266,224,0.97
266,879,0.81
1750,1191,0.9
1750,43,0.77
825,325,0.82
1699,1146,0.7
1699,879,0.71
1699,979,0.81
1701,1349,0.97
1413,1538,1.0
1691,1316,0.83
1691,1130,0.85
735,423,0.7
89,93,0.77
89,694,0.82
1255,211,0.93
1255,322,0.84
76,185,0.99
1318,1482,0.78
1318,296,0.91
1318,462,0.14
480,259,0.85
480,1117,0.61
480,1332,0.88
579,1308,0.74
579,46,0.8
1102,423,0.72
1102,977,0.66
1102,443,1.0
1102,1302,0.62
1619,1414,0.95
1619,1611,0.93
572,82,0.77
572,11,0.98
572,1327,0.95
572,241,0.93
830,654,0.98
830,46,0.74
830,684,0.9
830,916,0.39
653,879,0.82
653,623,0.81
653,43,0.83
91,134,0.79
1741,1485,0.97
1741,1692,0.98
1741,1474,0.94
1741,1345,1.0
1741,43,0.83
1741,1409,0.93
1042,319,0.5
1042,420,0.98
1042,1314,0.88
1042,1721,0.95
57,1200,0.99
57,394,0.98
57,319,0.79
57,1322,0.6
57,46,0.95
57,733,0.95
482,1308,0.66
482,1496,0.92
482,694,0.8
56,628,0.89
