"source","target","value"
"1308","296","0.94"
"785","319","0.79"
"785","1302","0.75"
"785","1164","0.72"
"785","977","0.79"
"785","1190","0.88"
"785","84","0.99"
"785","560","0.99"
"785","99","0.93"
"785","693","0.68"
"982","319","0.86"
"982","1200","0.93"
"982","92","0.99"
"1278","93","0.64"
"1278","192","0.72"
"654","43","0.99"
"654","1062","0.98"
"654","1355","0.89"
"100","378","0.64"
"100","536","0.88"
"100","1338","0.63"
"977","1356","0.98"
"431","1201","0.5"
"599","994","0.95"
"599","330","0.99"
"599","300","0.93"
"909","302","0.98"
"909","469","0.94"
"909","501","0.9"
"757","1134","0.78"
"69","45","1"
"69","904","0.81"
"232","1164","0.73"
"232","46","0.96"
"232","394","0.97"
"232","952","0.86"
"187","1308","0.82"
"187","1303","0.81"
"852","599","0.92"
"852","1117","0.9"
"1307","93","0.66"
"396","898","0.93"
"297","506","0.98"
"11","319","0.99"
"11","223","0.93"
"11","560","0.79"
"679","378","0.3"
"679","319","0.41"
"513","460","0.93"
"748","631","0.98"
"748","111","0.91"
"748","46","0.99"
"748","1322","0.64"
"748","1200","0.95"
"748","937","0.8"
"748","84","0.95"
"748","693","0.72"
"748","274","0.88"
"748","1316","0.84"
"748","537","0.82"
"748","486","0.74"
"748","616","0.86"
"748","505","0.65"
"1282","859","0.67"
"1282","229","0.86"
"1282","300","0.8"
"879","486","0.86"
"611","1302","0.83"
"843","1308","0.87"
"537","704","0.85"
"331","1322","0.45"
"331","1164","0.56"
"331","224","0.73"
"544","982","0.77"
"758","602","0.97"
"758","886","0.83"
"758","109","0.96"
"758","1356","0.84"
"197","224","0.97"
"197","879","0.81"
"1347","1191","0.9"
"1347","43","0.77"
"623","325","0.82"
"1299","1146","0.7"
"1299","879","0.71"
"1299","979","0.81"
"1301","1349","0.97"
"1291","1316","0.83"
"1291","1130","0.85"
"557","423","0.7"
"65","93","0.77"
"65","694","0.82"
"908","211","0.93"
"908","322","0.84"
"53","185","0.99"
"953","296","0.91"
"953","462","0.14"
"366","259","0.85"
"366","1117","0.61"
"366","1332","0.88"
"434","1308","0.74"
"434","46","0.8"
"808","423","0.72"
"808","977","0.66"
"808","443","1"
"808","1302","0.62"
"427","82","0.77"
"427","11","0.98"
"427","1327","0.95"
"427","241","0.93"
"627","654","0.98"
"627","46","0.74"
"627","684","0.9"
"627","916","0.39"
"493","879","0.82"
"493","623","0.81"
"493","43","0.83"
"66","134","0.79"
"1339","1345","1"
"1339","43","0.83"
"771","319","0.5"
"771","420","0.98"
"771","1314","0.88"
"42","1200","0.99"
"42","394","0.98"
"42","319","0.79"
