"birth","group","id","name"
"1881","1","0","Abercrombie, Lascelles"
"1923","1","1","Abse, Dannie"
"1930","1","2","Achebe, Chinua"
"1948","1","3","Ackerman, Diane"
"1923","1","4","Acorn, Milton"
"1899","1","5","Adams, L\u00e9onie"
"1943","1","6","Adamson, Robert"
"1934","1","7","Adcock, Fleur"
"1949","1","8","Agard, John"
"1947","1","9","Ai"
"1942","1","10","Aidoo, Ama Ata"
"1889","1","11","Aiken, Conrad"
"1892","1","12","Aldington, Richard"
"1949","1","13","Ali, Agha Shahid"
"1939","1","14","Allen, Dick"
"1921","1","15","Allison, Drummond"
"1912","1","16","Allott, Kenneth"
"1947","1","17","Alurista"
"1929","1","18","Alvarez, A."
"1922","1","19","Amis, Kingsley"
"1926","1","20","Ammons, A. R."
"1883","1","21","Anderson, Ethel"
"1940","1","22","Anderson, Jon"
"1915","1","23","Anderson, Patrick"
"1928","1","24","Angelou, Maya"
"1947","1","25","Angira, Jared"
"1922","1","26","Ansen, Alan"
"1947","1","27","Anyidoho, Kofi"
"1934","1","28","Arasanayagam, Jean Solomons"
"1963","1","29","Armitage, Simon"
"1924","1","30","Arrowsmith, William"
"1948","1","31","Ash, John"
"1927","1","32","Ashbery, John"
"1939","1","33","Atwood, Margaret"
"1907","1","34","Auden, W. H."
"1918","1","35","Avison, Margaret"
"1935","1","36","Awoonor, Kofi"
"1952","1","37","Baca, Jimmy Santiago"
"1905","1","38","Baker, Howard"
"1921","1","39","Banning, Lex"
"1934","1","40","Baraka, Amiri Imamu"
"1940","1","41","Barbour, Douglas"
"1913","1","42","Barker, George"
"1926","1","43","Baxter, James K."
"1928","1","44","Beaver, (Victor) Bruce"
"1906","1","45","Beckett, Samuel"
"1924","1","46","Beer, Patricia"
"1911","1","47","Belitt, Ben"
"1918","1","48","Bell, Martin"
"1937","1","49","Bell, Marvin"
"1899","1","50","Bellerby, Frances"
"1870","1","51","Belloc, Hilaire"
"1919","1","52","Bennett, Louise"
"1875","1","53","Bentley, E. C. (Edward Clerihew)"
"1934","1","54","Berg, Stephen"
"1921","1","55","Berrigan, Daniel (J.)"
"1934","1","56","Berrigan, Ted"
"1915","1","57","Berry, Francis"
"1924","1","58","Berry, James"
"1934","1","59","Berry, Wendell"
"1914","1","60","Berryman, John"
"1947","1","61","Berssenbrugge, Mei-Mei"
"1874","1","62","Bethell, (Mary) Ursula"
"1906","1","63","Betjeman, Sir John"
"1956","1","64","Bhatt, Sujata"
"1939","1","65","Bidart, Frank"
"1869","1","66","Binyon, (Robert) Laurence"
"1904","1","67","Birney, (Alfred) Earle"
"1911","1","68","Bishop, Elizabeth"
"1939","1","69","bissett, bill"
"1926","1","70","Blackburn, Paul"
"1904","1","71","Blackmur, R. P. (Richard Palmer)"
"1939","1","72","Blessing, Richard"
"1913","1","73","Blight, John"
"1949","1","74","Blumenthal, Michael"
"1896","1","75","Blunden, Edmund"
"1926","1","76","Bly, Robert"
"1897","1","77","Bogan, Louise"
"1944","1","78","Boland, Eavan"
"1925","1","79","Booth, Philip"
"1949","1","80","Bottoms, David"
"1906","1","81","Bottrall, Ronald"
"1935","1","82","Bowering, George"
"1949","1","83","Bowering, Marilyn"
"1924","1","84","Bowers, Edgar"
"1951","1","85","Boyle, Charles"
"1953","1","86","Brackenbury, Alison"
"1909","1","87","Brasch, Charles"
"1930","1","88","Brathwaite, E. K."
"1934","1","89","Braun, Richard Emil"
"1870","1","90","Brennan, Christopher"
"1928","1","91","Brew, (O. H.) Kwesi"
"1922","1","92","Brewster, Elizabeth"
"1844","1","93","Bridges, Robert"
"1946","1","94","Bringhurst, Robert"
"1928","1","95","Brissenden, R. F."
"1927","1","96","Brock, Edwin"
"1956","1","97","Brock-Broido, Lucie"
"1918","1","98","Bronk, William"
"1887","1","99","Brooke, Rupert"
"1917","1","100","Brooks, Gwendolyn"
"1948","1","101","Brown, Pam(ela)"
"1921","1","102","Brown, George Mackay"
"1901","1","103","Brown, Sterling A."
"1944","1","104","Brown, Wayne"
"1940","1","105","Browne, Michael Dennis"
"1925","1","106","Buckley, Vincent"
"1950","1","107","Buckmaster, Charles"
"1920","1","108","Bukowski, Charles"
"1900","1","109","Bunting, Basil"
"1897","1","110","Burke, Kenneth"
"1906","1","111","Burnshaw, Stanley"
"1955","1","112","Burnside, John"
"1918","1","113","Butler, Guy"
"1949","1","114","Butlin, Ron"
"1881","1","115","Bynner, Witter"
"1905","1","116","Cameron, (John) Norman"
"1925","1","117","Campbell, Alistair"
"1915","1","118","Campbell, David"
"1916","1","119","Campbell, George"
"1902","1","120","Campbell, (Ignatius) Roy(ston) (Dunnachie)"
"1921","1","121","Carruth, Hayden"
"1948","1","122","Carson, Ciaran"
"1927","1","123","Carter, Martin"
"1939","1","124","Carver, Raymond"
